Dc,Min.IR,Avg.IR,  Dif.RABC,  Std.RABC,Max.TIE ,T60
6,0.39,1.093222,0.57348,-0.0647392,55.12003,573
6,0.26,1.098772,0.679813333,0.016705244,55.12003,585
6,0.26,1.106772,0.733146667,0.086168889,55.12003,595
1,0.26,1.091462,0.63108,-0.0451872,55.12003,420
1.5,0.39,1.0946345,0.582896667,-0.053817089,55.12003,437
1.5,0.39,1.096326,0.594173333,-0.054228356,55.12003,390
6,0.39,1.0977202,0.603468,-0.063236272,55.12003,385
6,0.39,1.097222,0.55748,-0.0543392,55.12003,546
6,0.39,1.101222,0.54148,-0.0391392,55.12003,524
6,0.47,1.105222,0.52548,-0.0263392,55.12003,468
6,0.47,1.109472,0.50848,-0.0467392,55.12003,433
6,0.47,1.113722,0.49148,-0.0671392,55.12003,348
5,0.26,1.11471,0.700733333,0.099244444,55.12003,515
6,0.39,1.096309,0.59406,-0.0655624,55.12003,451
6,0.26,1.097959,0.58746,-0.1046824,80.42324,414
3,0.39,1.105086,0.45524,-0.10024,80.42324,328
3,0.26,1.095336,0.49424,-0.13144,80.42324,345
1.5,0.26,1.098443,0.54962,-0.1987662,80.42324,358
6,0.26,1.095972,0.56248,-0.1299392,80.42324,376
8,0.26,1.079114,0.519426667,-0.113982222,80.42324,462
6,0.26,1.089798,0.52132,-0.1282928,80.42324,496
6,0.26,1.091898,0.53532,-0.112399467,80.42324,411
6,0.26,1.093998,0.54932,-0.1151728,80.42324,398
6,0.26,1.099048,0.48432,-0.1726928,80.42324,441
5,0.26,1.110615,0.673433333,0.117963333,55.12003,494
6,0.39,1.087048,0.53232,-0.0630928,55.12003,633
6,0.26,1.102698,0.705986667,0.104876089,55.12003,623
3,0.39,1.0935706,0.575804,-0.032531232,55.12003,407
1,0.26,1.112462,0.54708,-0.1459872,55.12003,357
1,0.26,1.099962,0.59708,-0.0859872,55.12003,417
3,0.26,1.087449,0.604326667,-0.025617644,55.12003,468
2,0.26,1.087366,0.603773333,-0.0260192,55.12003,517
6,0.26,1.108319,0.67146,-0.2258984,80.42324,442
6,0.26,1.104458,0.64572,-0.1844208,80.42324,467
10,0.26,1.10193,0.628866667,-0.16628,80.42324,475
3,0.26,1.1063845,0.651896667,-0.201667778,80.42324,520
3,0.26,1.1095345,0.66623,-0.2323446,55.12003,550
1,0.26,1.1290115,0.588076667,-0.170247178,55.12003,541
4,0.26,1.128046,0.592306667,-0.152994844,55.12003,398
2,0.39,1.119516,0.55144,-0.095392533,55.12003,421
2,0.39,1.121574,0.56516,-0.1138688,55.12003,401
3,0.39,1.115916,0.566906667,-0.090309244,55.12003,396
2,0.39,1.12324,0.576266667,-0.128825778,55.12003,365
3,0.39,1.120636,0.569573333,-0.109255911,55.12003,431
5,0.39,1.1274575,0.61505,-0.1362,55.12003,341
0.5,0.26,1.11900575,0.628038333,-0.174323461,55.12003,548
10,0.39,1.1226,0.582666667,-0.125,55.12003,387
1,0.26,1.099283,0.55522,-0.136028133,80.42324,375
1,0.26,1.102533,0.54222,-0.125628133,80.42324,357
1,0.39,1.112283,0.50322,-0.094428133,80.42324,333
12,0.26,1.093696,0.587306667,-0.152735644,80.42324,463
1,0.39,1.1654415,0.66561,-0.2440226,55.12003,319
1.5,0.39,1.1024245,0.46683,-0.1435483,55.12003,467
1,0.39,1.120683,0.545886667,-0.1011148,55.12003,343
6,0.47,1.140449,0.562993333,-0.102675556,55.12003,339
4,0.39,1.123422,0.45268,-0.1360992,55.12003,350
3,0.47,1.110085,0.5579,-0.029418,55.12003,390
3,0.26,1.0938456,0.574704,-0.039051232,80.42324,388
3,0.26,1.0939831,0.574154,-0.042311232,80.42324,366
1.5,0.26,1.092318,0.57812,-0.0735662,55.12003,494
1.5,0.26,1.0940095,0.589396667,-0.059017089,55.12003,401
1.5,0.26,1.095701,0.600673333,-0.059428356,55.12003,366
6,0.26,1.077772,0.58248,-0.052213333,80.42324,484
3,0.26,1.099928804,0.66623,-0.2323446,55.12003,521
6,0.26,1.092972,0.57608,-0.0668192,55.12003,480
6,0.26,1.0941,0.5836,-0.053146667,55.12003,538
15,0.39,1.092826196,0.5772,-0.05782,55.12003,534
15,0.26,1.092171285,0.5798,-0.0599,55.12003,479
15,0.26,1.090861461,0.585,-0.06406,55.12003,441
15,0.26,1.089551637,0.5902,-0.06822,55.12003,511
