A,B,C,D,Min.IR,Avg.IR,Dif.RABC,IRM,Max.TIE,Avg.TIE,Std.TIE
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al'], 'price': 3}",O12,0.39,1.089173,0.52382,0.169907881,55.12003,43.4663852,13.98437376
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,0.39,1.089048,0.52432,0.169907881,55.12003,43.4663852,13.98437376
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,0.39,1.091173,0.51582,0.169907881,55.12003,43.5230652,13.91635776
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.0, 1.0]}","{'element': ['Al'], 'price': 3}",O12,0.39,1.091298,0.51532,0.169907881,55.12003,43.5230652,13.91635776
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'Ga'], 'price': [2.0, 1.0]}",O12,0.39,1.091048,0.51632,0.169907881,55.12003,43.5230652,13.91635776
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.0, 1.0]}","{'element': ['Al'], 'price': 3}",O12,0.39,1.092222,0.52148,0.121687929,55.12003,43.506134,13.9366752
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Sc'], 'price': [1.5, 0.5]}","{'element': ['Al'], 'price': 3}",O12,0.39,1.092298,0.51132,0.169907881,55.12003,43.3171452,14.16346176
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,0.39,1.092097,0.52198,0.121687929,55.12003,43.506134,13.9366752
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'In'], 'price': [2.5, 0.5]}",O12,0.39,1.092798,0.50932,0.169907881,55.12003,43.3993052,14.06486976
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.0, 1.0]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,0.39,1.093298,0.50732,0.169907881,55.12003,43.5797452,13.84834176
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [0.5, 1.5]}","{'element': ['Al'], 'price': 3}",O12,0.39,1.093423,0.50682,0.169907881,55.12003,43.5797452,13.84834176
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.0, 1.0]}",O12,0.39,1.093173,0.50782,0.169907881,55.12003,43.5797452,13.84834176
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'Ga'], 'price': [2.0, 1.0]}",O12,0.39,1.091972,0.52248,0.121687929,55.12003,43.506134,13.9366752
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'In'], 'price': [2.5, 0.5]}",O12,0.39,1.093722,0.51548,0.121687929,55.12003,43.382374,14.0851872
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [0.5, 1.5]}","{'element': ['Al'], 'price': 3}",O12,0.39,1.094347,0.51298,0.121687929,55.12003,43.562814,13.8686592
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.0, 1.0]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,0.39,1.094222,0.51348,0.121687929,55.12003,43.562814,13.8686592
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al'], 'price': 2}","{'element': ['Al', 'Ga'], 'price': [1.5, 1.5]}",O12,0.39,1.093048,0.50832,0.169907881,55.12003,43.5797452,13.84834176
"{'element': ['Lu', 'Ce'], 'price': [2.94, 0.06]}","{'element': ['Al', 'Sc'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.5, 0.5]}",O12,0.39,1.094298,0.50332,0.169907881,55.12003,43.3738252,14.09544576
"{'element': ['Lu', 'Ce'], 'price': [2.96, 0.04]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al'], 'price': 3}",O12,0.39,1.089007,0.522713333,0.169907881,55.12003,43.4675708,13.98295104
"{'element': ['Y', 'Lu', 'Ce'], 'price': [0.43999999999999995, 2.5, 0.06]}","{'element': ['Al', 'Ga'], 'price': [1.5, 0.5]}","{'element': ['Al', 'Ga'], 'price': [2.0, 1.0]}",O12,0.39,1.094097,0.51398,0.121687929,55.12003,43.562814,13.8686592
